,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
9905,688001,Alappuzha_Bernard_D (Kerala),Alappuzha_Bernard_D (Kerala),Alappuzha_Bernard_D (Kerala),Alappuzha,Kerala,TRUE
9906,307031,Pindwara_KashibaiColony_D (Rajasthan),Pindwara_KashibaiColony_D (Rajasthan),Pindwara_KashibaiColony_D (Rajasthan),Pindwara,Rajasthan,TRUE
9907,534340,Kovvur_Ward14_D (Andhra Pradesh),Kovvur_Ward14_D (Andhra Pradesh),Kovvur_Ward14_D (Andhra Pradesh),Kovvur,Andhra Pradesh,FALSE
9908,334003,Bikaner_MurlidharColony_I (Rajasthan),Bikaner_MurlidharColony_I (Rajasthan),Bikaner_MurlidharColony_I (Rajasthan),Bikaner,Rajasthan,FALSE
9909,695611,Attingal_Central_D_2 (Kerala),Attingal_Central_D_2 (Kerala),Attingal_Central_D_2 (Kerala),Attingal,Kerala,FALSE
9910,603002,Chengalpattu_AnnaNagar_D (Tamil Nadu),Chengalpattu_AnnaNagar_D (Tamil Nadu),Chengalpattu_AnnaNagar_D (Tamil Nadu),Chengalpattu,Tamil Nadu,FALSE
9911,743246,Bongaon_SukntDPP_D (West Bengal),Bongaon_SukntDPP_D (West Bengal),Bongaon_SukntDPP_D (West Bengal),Bongaon,West Bengal,FALSE
9912,743232,Helencha_ColnyDPP_D (West Bengal),Helencha_ColnyDPP_D (West Bengal),Helencha_ColnyDPP_D (West Bengal),Helencha,West Bengal,TRUE
9913,263001,Nainital_Malital_D (Uttarakhand),Nainital_Malital_D (Uttarakhand),Nainital_Malital_D (Uttarakhand),Nainital,Uttarakhand,TRUE
9914,209734,Kannauj_Kinaura_D (Uttar Pradesh),Kannauj_Kinaura_D (Uttar Pradesh),Kannauj_Kinaura_D (Uttar Pradesh),Kannauj,Uttar Pradesh,FALSE
9915,466111,Sehore_Sherpur_D (Madhya Pradesh),Sehore_Sherpur_D (Madhya Pradesh),Sehore_Sherpur_D (Madhya Pradesh),Sehore,Madhya Pradesh,TRUE
9916,271215,Balrampur_Tulsipur_D (Uttar Pradesh),Balrampur_Tulsipur_D (Uttar Pradesh),Balrampur_Tulsipur_D (Uttar Pradesh),Balrampur,Uttar Pradesh,FALSE
9917,184141,Samba_Samlah_D (Jammu & Kashmir),Samba_Samlah_D (Jammu & Kashmir),Samba_Samlah_D (Jammu & Kashmir),Samba,Jammu & Kashmir,TRUE
9918,755033,Jajpur_Chandama_D (Orissa),Jajpur_Chandama_D (Orissa),Jajpur_Chandama_D (Orissa),Jajpur,Orissa,TRUE
9919,761037,Chikiti_Bhlasingi_D (Orissa),Chikiti_Bhlasingi_D (Orissa),Chikiti_Bhlasingi_D (Orissa),Chikiti,Orissa,TRUE
9920,582212,Navalgund_Nargund_DPP (Karnataka),Navalgund_Nargund_DPP (Karnataka),Navalgund_Nargund_DPP (Karnataka),Navalgund,Karnataka,FALSE
9921,122012,Gurgaon_Sihi_L (Haryana),Gurgaon_Sihi_L (Haryana),Gurgaon_Sihi_L (Haryana),Gurgaon,Haryana,FALSE
9922,785683,Teok_Wardno3_D (Assam),Teok_Wardno3_D (Assam),Teok_Wardno3_D (Assam),Teok,Assam,TRUE
9923,507204,Bonakal_SaiNagar_D (Telangana),Bonakal_SaiNagar_D (Telangana),Bonakal_SaiNagar_D (Telangana),Bonakal,Telangana,FALSE
9924,385310,Dhanera_JalaramNagar_D (Gujarat),Dhanera_JalaramNagar_D (Gujarat),Dhanera_JalaramNagar_D (Gujarat),Dhanera,Gujarat,FALSE
9925,516454,Tadipatri_Kondapuram_D (Andhra Pradesh),Tadipatri_Kondapuram_D (Andhra Pradesh),Tadipatri_Kondapuram_D (Andhra Pradesh),Tadipatri,Andhra Pradesh,FALSE
9926,202127,Aligarh_Boner_I (Uttar Pradesh),Aligarh_Boner_I (Uttar Pradesh),Aligarh_Boner_I (Uttar Pradesh),Aligarh,Uttar Pradesh,FALSE
9927,331506,Sujangarh_Salasar1_DPP (Rajasthan),Sujangarh_Salasar1_DPP (Rajasthan),Sujangarh_Salasar1_DPP (Rajasthan),Sujangarh,Rajasthan,FALSE
9928,754005,Bhubaneswar_Bampakhuda_GW (Orissa),Bhubaneswar_Bampakhuda_GW (Orissa),Bhubaneswar_Bampakhuda_GW (Orissa),Bhubaneshwar,Orissa,FALSE
9929,852124,Saharsa_Ward4_D (Bihar),Saharsa_Ward4_D (Bihar),Saharsa_Ward4_D (Bihar),Saharsa,Bihar,FALSE
9930,249145,Tehri_Chamba_D (Uttarakhand),Tehri_Chamba_D (Uttarakhand),Tehri_Chamba_D (Uttarakhand),Tehri,Uttarakhand,FALSE
9931,695126,Trivandrum_Neyatinkra_D (Kerala),Trivandrum_Neyatinkra_D (Kerala),Trivandrum_Neyatinkra_D (Kerala),Thiruvananthapuram,Kerala,TRUE
9932,721124,Lutunia_Bholenthtmpl_D (West Bengal),Lutunia_Bholenthtmpl_D (West Bengal),Lutunia_Bholenthtmpl_D (West Bengal),Lutunia,West Bengal,TRUE
9933,224159,Jalalpur_Jaukabad_D (Uttar Pradesh),Jalalpur_Jaukabad_D (Uttar Pradesh),Jalalpur_Jaukabad_D (Uttar Pradesh),Jalalpur,Uttar Pradesh,TRUE
9934,636458,Mettur_Samballi_D (Tamil Nadu),Mettur_Samballi_D (Tamil Nadu),Mettur_Samballi_D (Tamil Nadu),Mettur,Tamil Nadu,TRUE
9935,326519,RamganjMandi_AdarshNagar_D (Rajasthan),RamganjMandi_AdarshNagar_D (Rajasthan),RamganjMandi_AdarshNagar_D (Rajasthan),Ramganj Mandi,Rajasthan,TRUE
9936,415640,Khed_BharanaNaka_D (Maharashtra),Khed_BharanaNaka_D (Maharashtra),Khed_BharanaNaka_D (Maharashtra),Khed,Maharashtra,TRUE
9937,364250,Sihor_Gautameshwar_D (Gujarat),Sihor_Gautameshwar_D (Gujarat),Sihor_Gautameshwar_D (Gujarat),Sihor,Gujarat,TRUE
9938,509153,Kurnool_Dinnedevrpdu_I (Andhra Pradesh),Kurnool_Dinnedevrpdu_I (Andhra Pradesh),Kurnool_Dinnedevrpdu_I (Andhra Pradesh),Kurnool,Andhra Pradesh,FALSE
9939,361004,Jamnagar_Kansumara_L (Gujarat),Jamnagar_Kansumara_L (Gujarat),Jamnagar_Kansumara_L (Gujarat),Jamnagar,Gujarat,FALSE
9940,518465,Alur_Pattikonda_D (Andhra Pradesh),Alur_Pattikonda_D (Andhra Pradesh),Alur_Pattikonda_D (Andhra Pradesh),Alur,Andhra Pradesh,FALSE
9941,641020,Coimbatore_Pudhupalayam_GW (Tamil Nadu),Coimbatore_Pudhupalayam_GW (Tamil Nadu),Coimbatore_Pudhupalayam_GW (Tamil Nadu),Coimbatore,Tamil Nadu,FALSE
9942,203403,Siyana_Khnprstand_D (Uttar Pradesh),Siyana_Khnprstand_D (Uttar Pradesh),Siyana_Khnprstand_D (Uttar Pradesh),Siyana,Uttar Pradesh,TRUE
9943,572201,Tiptur_Chmundeshwri_D (Karnataka),Tiptur_Chmundeshwri_D (Karnataka),Tiptur_Chmundeshwri_D (Karnataka),Tiptur,Karnataka,FALSE
9944,560094,Bangalore_RKHegdeNagar_L (Karnataka),Bangalore_RKHegdeNagar_L (Karnataka),Bangalore_RKHegdeNagar_L (Karnataka),Bangalore,Karnataka,FALSE
9945,503322,Nizamabad_Sarangapur_I (Telangana),Nizamabad_Sarangapur_I (Telangana),Nizamabad_Sarangapur_I (Telangana),Nizamabad,Telangana,TRUE
9946,613403,Thanjavur_Parvathinagar_D (Tamil Nadu),Thanjavur_Parvathinagar_D (Tamil Nadu),Thanjavur_Parvathinagar_D (Tamil Nadu),Thanjavur,Tamil Nadu,FALSE
9947,604154,Tindivanam_Edyankulam_D (Tamil Nadu),Tindivanam_Edyankulam_D (Tamil Nadu),Tindivanam_Edyankulam_D (Tamil Nadu),Tindivanam,Tamil Nadu,FALSE
9948,400085,Mumbai_Chembur1_L (Maharashtra),Mumbai_Chembur1_L (Maharashtra),Mumbai_Chembur1_L (Maharashtra),Mumbai,Maharashtra,FALSE
9949,570006,Mysore_Hebbalestate_H (Karnataka),Mysore_Hebbalestate_H (Karnataka),Mysore_Hebbalestate_H (Karnataka),Mysore,Karnataka,FALSE
9950,335802,Hanumangarh_DhaanMandi_I (Rajasthan),Hanumangarh_DhaanMandi_I (Rajasthan),Hanumangarh_DhaanMandi_I (Rajasthan),Hanumangarh,Rajasthan,FALSE
9951,388640,Khambhat_MotvdDPP_D (Gujarat),Khambhat_MotvdDPP_D (Gujarat),Khambhat_MotvdDPP_D (Gujarat),Khambhat,Gujarat,FALSE
9952,285125,Auraiya_Brahmngr_D (Uttar Pradesh),Auraiya_Brahmngr_D (Uttar Pradesh),Auraiya_Brahmngr_D (Uttar Pradesh),Auraiya,Uttar Pradesh,TRUE
9953,144520,Garhshankar_BangaRoad_D (Punjab),Garhshankar_BangaRoad_D (Punjab),Garhshankar_BangaRoad_D (Punjab),Garhshanker,Punjab,TRUE
9954,505475,Jammikunta_Kothapally_D (Telangana),Jammikunta_Kothapally_D (Telangana),Jammikunta_Kothapally_D (Telangana),Jammikunta,Telangana,FALSE
9955,712416,Khanakul_Gaurangapur_D (West Bengal),Khanakul_Gaurangapur_D (West Bengal),Khanakul_Gaurangapur_D (West Bengal),Khanakul,West Bengal,TRUE
9956,222107,Jaunpur_Chachakpur_D (Uttar Pradesh),Jaunpur_Chachakpur_D (Uttar Pradesh),Jaunpur_Chachakpur_D (Uttar Pradesh),Jaunpur,Uttar Pradesh,TRUE
9957,613602,Thirukatupali_BudalurRd_D (Tamil Nadu),Thirukatupali_BudalurRd_D (Tamil Nadu),Thirukatupali_BudalurRd_D (Tamil Nadu),Thirukkattupalli,Tamil Nadu,FALSE
9958,143511,Batala_PremNagar_D (Punjab),Batala_PremNagar_D (Punjab),Batala_PremNagar_D (Punjab),Batala,Punjab,FALSE
9959,627751,Tenkasi_Ilanji_D (Tamil Nadu),Tenkasi_Ilanji_D (Tamil Nadu),Tenkasi_Ilanji_D (Tamil Nadu),Tenkasi,Tamil Nadu,TRUE
9960,781313,Barpeta_ShaktiNagar_D (Assam),Barpeta_ShaktiNagar_D (Assam),Barpeta_ShaktiNagar_D (Assam),Barpeta,Assam,TRUE
9961,630311,Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi,Tamil Nadu,FALSE
9962,784001,Tezpur_Dipota_H (Assam),Tezpur_Dipota_H (Assam),Tezpur_Dipota_H (Assam),Tezpur,Assam,FALSE
9963,752083,Daspalla_Andharkota_DPP (Orissa),Daspalla_Andharkota_DPP (Orissa),Daspalla_Andharkota_DPP (Orissa),Daspalla,Orissa,FALSE
9964,464672,Silwani_Padariyakalan_DPP (Madhya Pradesh),Silwani_Padariyakalan_DPP (Madhya Pradesh),Silwani_Padariyakalan_DPP (Madhya Pradesh),Silwani,Madhya Pradesh,FALSE
9965,509349,Kalwakurthy_Margadarshi_D (Telangana),Kalwakurthy_Margadarshi_D (Telangana),Kalwakurthy_Margadarshi_D (Telangana),Kalwakurthy,Telangana,TRUE
9966,688009,Alappuzha_Bernard_D (Kerala),Alappuzha_Bernard_D (Kerala),Alappuzha_Bernard_D (Kerala),Alappuzha,Kerala,FALSE
9967,400410,Mumbai_Kalachowki_L (Maharashtra),Mumbai_Kalachowki_L (Maharashtra),Mumbai_Kalachowki_L (Maharashtra),Mumbai,Maharashtra,FALSE
9968,151508,Mansa_GreenVly_D (Punjab),Mansa_GreenVly_D (Punjab),Mansa_GreenVly_D (Punjab),Mansa,Punjab,FALSE
9969,786611,Sonari_Nakachari_D (Assam),Sonari_Nakachari_D (Assam),Sonari_Nakachari_D (Assam),Sonari,Assam,TRUE
9970,444606,Amravati_Nimbhora_H (Maharashtra),Amravati_Nimbhora_H (Maharashtra),Amravati_Nimbhora_H (Maharashtra),Amravati,Maharashtra,FALSE
9971,171010,Shimla_Tara_DC (Himachal Pradesh),Shimla_Tara_DC (Himachal Pradesh),Shimla_Tara_DC (Himachal Pradesh),Shimla,Himachal Pradesh,TRUE
9972,685535,Kumily_Attappallam_D (Kerala),Kumily_Attappallam_D (Kerala),Kumily_Attappallam_D (Kerala),Kumily,Kerala,TRUE
9973,610111,Thiruvarur_Pulivalam_D (Tamil Nadu),Thiruvarur_Pulivalam_D (Tamil Nadu),Thiruvarur_Pulivalam_D (Tamil Nadu),Thiruvarur,Tamil Nadu,TRUE
9974,627804,Tenkasi_Ilanji_D (Tamil Nadu),Tenkasi_Ilanji_D (Tamil Nadu),Tenkasi_Ilanji_D (Tamil Nadu),Tenkasi,Tamil Nadu,TRUE
9975,221303,Gopiganj_Gerai_D (Uttar Pradesh),Gopiganj_Gerai_D (Uttar Pradesh),Gopiganj_Gerai_D (Uttar Pradesh),Gopiganj,Uttar Pradesh,TRUE
9976,500060,Hyderabad_Autonagar_L (Telangana),Hyderabad_Autonagar_L (Telangana),Hyderabad_Autonagar_L (Telangana),Hyderabad,Telangana,FALSE
9977,384122,Unjha_SatymComplx_D (Gujarat),Unjha_SatymComplx_D (Gujarat),Unjha_SatymComplx_D (Gujarat),Unjha,Gujarat,TRUE
9978,454221,Kukshi_BurahaniColony_D (Madhya Pradesh),Kukshi_BurahaniColony_D (Madhya Pradesh),Kukshi_BurahaniColony_D (Madhya Pradesh),Kukshi,Madhya Pradesh,TRUE
9979,742184,Morgram_Kantagoriya_D (West Bengal),Morgram_Kantagoriya_D (West Bengal),Morgram_Kantagoriya_D (West Bengal),Morgram,West Bengal,TRUE
9980,516163,Cuddapah_Aravindnagar_I (Andhra Pradesh),Cuddapah_Aravindnagar_I (Andhra Pradesh),Cuddapah_Aravindnagar_I (Andhra Pradesh),Cuddapah,Andhra Pradesh,FALSE
9981,799010,Agartala_UttarChampamura_I (Tripura),NSZ,Agartala_UttarChampamura_I (Tripura),Agartala,Tripura,FALSE
9982,400036,Mumbai_Kalachowki_L (Maharashtra),Mumbai_Kalachowki_L (Maharashtra),Mumbai_Kalachowki_L (Maharashtra),Mumbai,Maharashtra,FALSE
9983,786152,DoomDooma_Kakopathar_D (Assam),DoomDooma_Kakopathar_D (Assam),DoomDooma_Kakopathar_D (Assam),Doom Dooma,Assam,TRUE
9984,180011,Jammu_Baribrahmana_H (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),Jammu,Jammu & Kashmir,FALSE
9985,638466,Mettupalayam_Belladhi_D (Tamil Nadu),Mettupalayam_Belladhi_D (Tamil Nadu),Mettupalayam_Belladhi_D (Tamil Nadu),Mettupalayam,Tamil Nadu,TRUE
9986,802209,Piro_Bachri_D (Bihar),Piro_Bachri_D (Bihar),Piro_Bachri_D (Bihar),Piro,Bihar,TRUE
9987,614616,Pudukkottai_Lnpuram_D (Tamil Nadu),Pudukkottai_Lnpuram_D (Tamil Nadu),Pudukkottai_Lnpuram_D (Tamil Nadu),Pudukkottai,Tamil Nadu,TRUE
9988,421204,Mumbai_Ambernath_L (Maharashtra),Bhiwandi_Lonad_GW (Maharashtra),Mumbai_Ambernath_L (Maharashtra),Greater Thane,Maharashtra,FALSE
9989,516233,Badvel_Chinthaputhypali_D (Andhra Pradesh),Badvel_Chinthaputhypali_D (Andhra Pradesh),Badvel_Chinthaputhypali_D (Andhra Pradesh),Badvel,Andhra Pradesh,TRUE
9990,591213,Chikodi_Raibag_DPP (Karnataka),Chikodi_Raibag_DPP (Karnataka),Chikodi_Raibag_DPP (Karnataka),Chikodi,Karnataka,FALSE
9991,803221,Bakhtiarpur_DiaraMalahi_D (Bihar),Bakhtiarpur_DiaraMalahi_D (Bihar),Bakhtiarpur_DiaraMalahi_D (Bihar),Bakhtiarpur,Bihar,TRUE
9992,767065,Balangir_Khamarmunda_I (Orissa),Balangir_Khamarmunda_I (Orissa),Balangir_Khamarmunda_I (Orissa),Balangir,Orissa,FALSE
9993,622501,Pudukkottai_Machuvadi_D (Tamil Nadu),Pudukkottai_Machuvadi_D (Tamil Nadu),Pudukkottai_Machuvadi_D (Tamil Nadu),Pudukkottai,Tamil Nadu,FALSE
9994,224126,Rudauli_Ghosaiyana_D (Uttar Pradesh),Rudauli_Ghosaiyana_D (Uttar Pradesh),Rudauli_Ghosaiyana_D (Uttar Pradesh),Rudauli,Uttar Pradesh,TRUE
9995,443406,JalgaonJamod_Tatrpur_DPP (Maharashtra),JalgaonJamod_Tatrpur_DPP (Maharashtra),JalgaonJamod_Tatrpur_DPP (Maharashtra),Jalgaon Jamod,Maharashtra,FALSE
9996,518583,Sirvella_Sirivelmitta1_DPP (Andhra Pradesh),Sirvella_Sirivelmitta1_DPP (Andhra Pradesh),Sirvella_Sirivelmitta1_DPP (Andhra Pradesh),Sirvella,Andhra Pradesh,FALSE
9997,241201,Sandila_SubabDPP_D (Uttar Pradesh),Sandila_SubabDPP_D (Uttar Pradesh),Sandila_SubabDPP_D (Uttar Pradesh),Sandila,Uttar Pradesh,FALSE
9998,796001,Aizawl_Bawngkawn_P (Mizoram),Aizawl_Bawngkawn_P (Mizoram),Aizawl_Bawngkawn_P (Mizoram),Aizawl,Mizoram,FALSE
9999,441907,Tumsar_Dewhadi_DPP (Maharashtra),Tumsar_Dewhadi_DPP (Maharashtra),Tumsar_Dewhadi_DPP (Maharashtra),Tumsar,Maharashtra,FALSE
10000,384275,Patan_Hansapur_D (Gujarat),Patan_Hansapur_D (Gujarat),Patan_Hansapur_D (Gujarat),Patan,Gujarat,TRUE
10001,143408,Goindwal_Fatehabad_D (Punjab),Goindwal_Fatehabad_D (Punjab),Goindwal_Fatehabad_D (Punjab),Goindwal,Punjab,FALSE
10002,571201,Madikeri_Ranipet_D (Karnataka),Madikeri_Ranipet_D (Karnataka),Madikeri_Ranipet_D (Karnataka),Madikeri,Karnataka,TRUE
10003,233308,Ghazipur_Arazidhawa_D (Uttar Pradesh),Ghazipur_Arazidhawa_D (Uttar Pradesh),Ghazipur_Arazidhawa_D (Uttar Pradesh),Ghazipur,Uttar Pradesh,TRUE
10004,431128,Parli_JirgeNgr_D (Maharashtra),Parli_JirgeNgr_D (Maharashtra),Parli_JirgeNgr_D (Maharashtra),Parli,Maharashtra,FALSE
10005,151102,RampuraPhul_DC (Punjab),RampuraPhul_DC (Punjab),RampuraPhul_DC (Punjab),Rampura Phul,Punjab,TRUE
10006,841305,Chhapra_Newajitola_I (Bihar),Chhapra_Newajitola_I (Bihar),Chhapra_Newajitola_I (Bihar),Chhapra,Bihar,FALSE
10007,122009,Gurgaon_Sector52_L (Haryana),Gurgaon_Sector52_L (Haryana),Gurgaon_Sector52_L (Haryana),Gurgaon,Haryana,FALSE
10008,496004,Raigarh_IndustrialArea_D (Chhattisgarh),Raigarh_IndustrialArea_D (Chhattisgarh),Raigarh_IndustrialArea_D (Chhattisgarh),Raigarh,Chhattisgarh,TRUE
10009,690552,Tiruvalla_Chennithala_D (Kerala),Tiruvalla_Chennithala_D (Kerala),Tiruvalla_Chennithala_D (Kerala),Tiruvalla,Kerala,TRUE
10010,757017,Betnoti_Bhagabati_DPP (Orissa),Betnoti_Bhagabati_DPP (Orissa),Betnoti_Bhagabati_DPP (Orissa),Betnoti,Orissa,TRUE
10011,842008,Muzaffarpur_Gobarsahi_H (Bihar),Muzaffarpur_Gobarsahi_H (Bihar),Muzaffarpur_Gobarsahi_H (Bihar),Muzaffarpur,Bihar,TRUE
10012,735235,Mainaguri_Debinagar_DPP (West Bengal),Mainaguri_Debinagar_DPP (West Bengal),Mainaguri_Debinagar_DPP (West Bengal),Mainaguri,West Bengal,TRUE
10013,415111,Karad_Malkapur1_D (Maharashtra),Karad_Malkapur1_D (Maharashtra),Karad_Malkapur1_D (Maharashtra),Karad,Maharashtra,TRUE
10014,824213,Daudnagar_Tarar_D (Bihar),Daudnagar_Tarar_D (Bihar),Daudnagar_Tarar_D (Bihar),Daudnagar,Bihar,FALSE
10015,584111,Devadurga_APMC_D (Karnataka),Devadurga_APMC_D (Karnataka),Devadurga_APMC_D (Karnataka),Devadurga,Karnataka,FALSE
10016,229405,Raebareli_NarayanNagar_D (Uttar Pradesh),Raebareli_NarayanNagar_D (Uttar Pradesh),Raebareli_NarayanNagar_D (Uttar Pradesh),Raebareli,Uttar Pradesh,TRUE
10017,230503,Amethi_HardevNagar_D (Uttar Pradesh),Amethi_HardevNagar_D (Uttar Pradesh),Amethi_HardevNagar_D (Uttar Pradesh),Amethi,Uttar Pradesh,FALSE
10018,202118,Aligarh_Boner_I (Uttar Pradesh),Aligarh_Boner_I (Uttar Pradesh),Aligarh_Boner_I (Uttar Pradesh),Aligarh,Uttar Pradesh,
10019,530009,Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam,Andhra Pradesh,FALSE
10020,242225,Shahjahanpur_AvasVikas_D (Uttar Pradesh),Shahjahanpur_AvasVikas_D (Uttar Pradesh),Shahjahanpur_AvasVikas_D (Uttar Pradesh),Shahjahanpur,Uttar Pradesh,
10021,176103,Palampur_Berachah_D (Himachal Pradesh),Palampur_Berachah_D (Himachal Pradesh),Palampur_Berachah_D (Himachal Pradesh),Palampur,Himachal Pradesh,FALSE
10022,690104,Tiruvalla_Chennithala_D (Kerala),Tiruvalla_Chennithala_D (Kerala),Tiruvalla_Chennithala_D (Kerala),Tiruvalla,Kerala,TRUE
10023,601102,Chennai_Gummidipoondi_L (Tamil Nadu),Chennai_Gummidipoondi_L (Tamil Nadu),Chennai_Gummidipoondi_L (Tamil Nadu),Gummudipoondi,Tamil Nadu,FALSE
10024,625117,Madurai_Avaniyapuram_H (Tamil Nadu),Madurai_Avaniyapuram_H (Tamil Nadu),Madurai_Avaniyapuram_H (Tamil Nadu),Madurai,Tamil Nadu,
10025,314038,Salumbar_Punjpur_D (Rajasthan),Salumbar_Punjpur_D (Rajasthan),Salumbar_Punjpur_D (Rajasthan),Salumbar,Rajasthan,FALSE
10026,673593,SultanBathery_Kolagapara_D (Kerala),SultanBathery_Kolagapara_D (Kerala),SultanBathery_Kolagapara_D (Kerala),Sultan Bathery,Kerala,TRUE
10027,301412,Kotputli_Bansur_D (Rajasthan),Kotputli_Bansur_D (Rajasthan),Kotputli_Bansur_D (Rajasthan),Kotputli,Rajasthan,FALSE
10028,151007,Bathinda_KrishnaNagar_I (Punjab),Bathinda_KrishnaNagar_I (Punjab),Bathinda_KrishnaNagar_I (Punjab),Bathinda,Punjab,TRUE
10029,686581,Pala_Elappunkal_D (Kerala),Pala_Elappunkal_D (Kerala),Pala_Elappunkal_D (Kerala),Pala,Kerala,TRUE
10030,691508,Adoor_Pidavoor_D (Kerala),Adoor_Pidavoor_D (Kerala),Adoor_Pidavoor_D (Kerala),Adoor,Kerala,TRUE
10031,246726,Bijnor_Garhi_D (Uttar Pradesh),Bijnor_Garhi_D (Uttar Pradesh),Bijnor_Garhi_D (Uttar Pradesh),Bijnor,Uttar Pradesh,FALSE
10032,416514,Sawantwadi_Khaskilwada1_D (Maharashtra),Sawantwadi_Khaskilwada1_D (Maharashtra),Sawantwadi_Khaskilwada1_D (Maharashtra),Sawantwadi,Maharashtra,TRUE
10033,364565,Amreli_Bhojalpara_D (Gujarat),Amreli_Bhojalpara_D (Gujarat),Amreli_Bhojalpara_D (Gujarat),Amreli,Gujarat,TRUE
10034,140115,AnandpurSahib_Ganguwal_D (Punjab),AnandpurSahib_Ganguwal_D (Punjab),AnandpurSahib_Ganguwal_D (Punjab),Anandpur Sahib,Punjab,TRUE
10035,509302,Mahbubnagar_Boyapally_I (Telangana),Mahbubnagar_Boyapally_I (Telangana),Mahbubnagar_Boyapally_I (Telangana),Mahabubnagar,Telangana,TRUE
10036,689548,Kozhenchery_Melukara_D (Kerala),Kozhenchery_Melukara_D (Kerala),Kozhenchery_Melukara_D (Kerala),Kozhenchery,Kerala,FALSE
10037,723144,Raghunathpur_Nutandih_D (West Bengal),Raghunathpur_Nutandih_D (West Bengal),Raghunathpur_Nutandih_D (West Bengal),Raghunathpur,West Bengal,FALSE
10038,695039,Trivandrum_Chelamangalm_L (Kerala),Trivandrum_Chelamangalm_L (Kerala),Trivandrum_Chelamangalm_L (Kerala),Thiruvananthapuram,Kerala,FALSE
10039,843143,Saraiya_Saraiya_D (Bihar),Saraiya_Saraiya_D (Bihar),Saraiya_Saraiya_D (Bihar),Saraiya,Bihar,FALSE
10040,781367,Tamulpur_Gerua_D (Assam),Tamulpur_Gerua_D (Assam),Tamulpur_Gerua_D (Assam),Tamulpur,Assam,TRUE
10041,614619,Manamelkudi_HondaShow_D (Tamil Nadu),Manamelkudi_HondaShow_D (Tamil Nadu),Manamelkudi_HondaShow_D (Tamil Nadu),Manamelkudi,Tamil Nadu,TRUE
10042,394116,Ankleshwar_Motali1_L (Gujarat),Ankleshwar_Motali1_L (Gujarat),Ankleshwar_Motali1_L (Gujarat),Ankleshwar,Gujarat,TRUE
10043,493228,BalodaBazar_Pahanda_D (Chhattisgarh),BalodaBazar_Pahanda_D (Chhattisgarh),BalodaBazar_Pahanda_D (Chhattisgarh),Baloda Bazar,Chhattisgarh,FALSE
10044,581141,Davangere_Industrialarea_I (Karnataka),Davangere_Industrialarea_I (Karnataka),Davangere_Industrialarea_I (Karnataka),Davangere,Karnataka,TRUE
10045,781374,Sarthebari_Tmlichp_D (Assam),Sarthebari_Tmlichp_D (Assam),Sarthebari_Tmlichp_D (Assam),Sarthebari,Assam,TRUE
10046,848113,Tajpur_HsptlRd_D (Bihar),Tajpur_HsptlRd_D (Bihar),Tajpur_HsptlRd_D (Bihar),Tajpur,Bihar,FALSE
10047,762105,MRampur_Benarabahal_DPP (Orissa),MRampur_Benarabahal_DPP (Orissa),MRampur_Benarabahal_DPP (Orissa),M Rampur,Orissa,FALSE
10048,229202,Unnao_KulhaBagha_D (Uttar Pradesh),Unnao_KulhaBagha_D (Uttar Pradesh),Unnao_KulhaBagha_D (Uttar Pradesh),Unnao,Uttar Pradesh,TRUE
10049,248196,Chakrata_Purodi_DPP (Uttarakhand),Chakrata_Purodi_DPP (Uttarakhand),Chakrata_Purodi_DPP (Uttarakhand),Chakrata,Uttarakhand,FALSE
10050,508204,Huzurnagar_MellaChervu_D (Telangana),Huzurnagar_MellaChervu_D (Telangana),Huzurnagar_MellaChervu_D (Telangana),Huzur Nagar,Telangana,TRUE
10051,630210,Ponamarvathi_Singampunari_D (Tamil Nadu),Ponamarvathi_Singampunari_D (Tamil Nadu),Ponamarvathi_Singampunari_D (Tamil Nadu),Ponnamaravathi,Tamil Nadu,FALSE
10052,251314,Khatauli_GTRoad_D (Uttar Pradesh),Khatauli_GTRoad_D (Uttar Pradesh),Khatauli_GTRoad_D (Uttar Pradesh),Khatauli,Uttar Pradesh,TRUE
10053,534004,Eluru_Kalaparru_I (Andhra Pradesh),Eluru_Kalaparru_I (Andhra Pradesh),Eluru_Kalaparru_I (Andhra Pradesh),Eluru,Andhra Pradesh,FALSE
10054,788108,Udarbond_Pangram_D (Assam),Udarbond_Pangram_D (Assam),Udarbond_Pangram_D (Assam),Udarbond,Assam,FALSE
10055,403202,Goa_Mapusa_L (Goa),Goa_Hub (Goa),Goa_Mapusa_L (Goa),Goa,Goa,FALSE
10056,516193,Badvel_Chinthaputhypali_D (Andhra Pradesh),Badvel_Chinthaputhypali_D (Andhra Pradesh),Badvel_Chinthaputhypali_D (Andhra Pradesh),Badvel,Andhra Pradesh,TRUE
10057,768104,Binka_Sindurpur_DPP (Orissa),Binka_Sindurpur_DPP (Orissa),Binka_Sindurpur_DPP (Orissa),Binka,Orissa,FALSE
