,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
94,370205,Anjar_ChitrakutCir_D (Gujarat),Anjar_ChitrakutCir_D (Gujarat),Anjar_ChitrakutCir_D (Gujarat),Anjar,Gujarat,FALSE
95,755005,Chandipur_Keshpur_D (Orissa),Chandipur_Keshpur_D (Orissa),Chandipur_Keshpur_D (Orissa),Chandipur,Orissa,TRUE
96,625234,Madurai_Avaniyapuram_H (Tamil Nadu),Madurai_Avaniyapuram_H (Tamil Nadu),Madurai_Avaniyapuram_H (Tamil Nadu),Madurai,Tamil Nadu,FALSE
97,756051,Soro_Ashoknagar_D (Orissa),Soro_Ashoknagar_D (Orissa),Soro_Ashoknagar_D (Orissa),Soro,Orissa,TRUE
98,623319,Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi,Tamil Nadu,FALSE
99,222201,Mungra_Machalishahar_D (Uttar Pradesh),Mungra_Machalishahar_D (Uttar Pradesh),Mungra_Machalishahar_D (Uttar Pradesh),Mungra Badshahpur,Uttar Pradesh,TRUE
100,614905,Thiruvarur_Mannargudi_D (Tamil Nadu),Thiruvarur_Mannargudi_D (Tamil Nadu),Thiruvarur_Mannargudi_D (Tamil Nadu),Thiruvarur,Tamil Nadu,TRUE
101,591340,Chikodi_Prabhuwadi_D (Karnataka),Chikodi_Prabhuwadi_D (Karnataka),Chikodi_Prabhuwadi_D (Karnataka),Chikodi,Karnataka,TRUE
102,741158,Nazirpur_Thanarpara_D (West Bengal),Nazirpur_Thanarpara_D (West Bengal),Nazirpur_Thanarpara_D (West Bengal),Nazirpur,West Bengal,TRUE
103,222162,Mariahu_RnprJmlpr_D (Uttar Pradesh),Mariahu_RnprJmlpr_D (Uttar Pradesh),Mariahu_RnprJmlpr_D (Uttar Pradesh),Mariahu,Uttar Pradesh,FALSE
104,110070,Delhi_Satbari_L (Delhi),Delhi_Satbari_L (Delhi),Delhi_Satbari_L (Delhi),Delhi,Delhi,FALSE
105,518220,Dhone_Autonagar_D (Andhra Pradesh),Dhone_Autonagar_D (Andhra Pradesh),Dhone_Autonagar_D (Andhra Pradesh),Dhone,Andhra Pradesh,FALSE
106,452007,Indore_Sinhasa_L (Madhya Pradesh),Indore_Dakachya_GW (Madhya Pradesh),Indore_Sinhasa_L (Madhya Pradesh),Indore,Madhya Pradesh,FALSE
107,535521,Parvathipuram_RyghdRd_D (Andhra Pradesh),Parvathipuram_RyghdRd_D (Andhra Pradesh),Parvathipuram_RyghdRd_D (Andhra Pradesh),Parvathipuram,Andhra Pradesh,TRUE
108,393017,Ankleshwar_Motali1_L (Gujarat),Ankleshwar_Motali1_L (Gujarat),Ankleshwar_Motali1_L (Gujarat),Ankleshwar,Gujarat,FALSE
109,583231,Koppal_Bhagyanagar_D (Karnataka),Koppal_Bhagyanagar_D (Karnataka),Koppal_Bhagyanagar_D (Karnataka),Koppal,Karnataka,TRUE
110,211008,Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad,Uttar Pradesh,FALSE
111,686667,Thodupuzha_Manimalakunu_D (Kerala),Thodupuzha_Manimalakunu_D (Kerala),Thodupuzha_Manimalakunu_D (Kerala),Thodupuzha,Kerala,TRUE
112,201205,Modinagar_SangamAutoAg_D (Uttar Pradesh),Modinagar_SangamAutoAg_C (Uttar Pradesh),Modinagar_SangamAutoAg_C (Uttar Pradesh),Modinagar,Uttar Pradesh,FALSE
113,689511,Tiruvalla_Chennithala_D (Kerala),Tiruvalla_Chennithala_D (Kerala),Tiruvalla_Chennithala_D (Kerala),Tiruvalla,Kerala,TRUE
114,110063,Delhi_MundkaIndustArea_L (Delhi),Delhi_MundkaIndustArea_L (Delhi),Delhi_MundkaIndustArea_L (Delhi),Delhi,Delhi,FALSE
115,221206,Bhadohi_Baragaon1_D (Uttar Pradesh),Bhadohi_Baragaon1_D (Uttar Pradesh),Bhadohi_Baragaon1_D (Uttar Pradesh),Bhadohi,Uttar Pradesh,FALSE
116,635113,Hosur_SipcotPhase1_L (Tamil Nadu),Hosur_SipcotPhase1_L (Tamil Nadu),Hosur_SipcotPhase1_L (Tamil Nadu),Hosur,Tamil Nadu,TRUE
117,223101,Shahganj_Kaudiya_D (Uttar Pradesh),Shahganj_Kaudiya_D (Uttar Pradesh),Shahganj_Kaudiya_D (Uttar Pradesh),Shahganj,Uttar Pradesh,FALSE
118,232116,Chandauli_Alinagar_D (Uttar Pradesh),Chandauli_Alinagar_D (Uttar Pradesh),Chandauli_Alinagar_D (Uttar Pradesh),Chandauli,Uttar Pradesh,TRUE
119,301709,Neemrana_RIICOIndArea1_D (Rajasthan),Neemrana_RIICOIndArea1_D (Rajasthan),Neemrana_RIICOIndArea1_D (Rajasthan),Neemrana,Rajasthan,TRUE
120,572128,Tumkur_Thimmalapura_H (Karnataka),Tumkur_Thimmalapura_H (Karnataka),Tumkur_Thimmalapura_H (Karnataka),Tumkur,Karnataka,FALSE
121,680699,Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur,Kerala,TRUE
122,530022,Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam,Andhra Pradesh,FALSE
123,628718,Tuticorin_Polpettai_D (Tamil Nadu),Tuticorin_Polpettai_D (Tamil Nadu),Tuticorin_Polpettai_D (Tamil Nadu),Tuticorin,Tamil Nadu,FALSE
124,804454,Masaurhi_Biranchi_D (Bihar),Masaurhi_Biranchi_D (Bihar),Masaurhi_Biranchi_D (Bihar),Masaurhi,Bihar,FALSE
125,533435,Yerravaram_Somavaram_D (Andhra Pradesh),Yerravaram_Somavaram_D (Andhra Pradesh),Yerravaram_Somavaram_D (Andhra Pradesh),Yerravaram,Andhra Pradesh,TRUE
126,411406,Pune_Bhamboli_L (Maharashtra),Pune_BhamboliMIDC_H (Maharashtra),Pune_Bhamboli_L (Maharashtra),Pune,Maharashtra,FALSE
127,311403,Bhilwara_RIICOIndArea_I (Rajasthan),Bhilwara_RIICOIndArea_I (Rajasthan),Bhilwara_RIICOIndArea_I (Rajasthan),Bhilwara,Rajasthan,TRUE
128,182313,Reasi_Marhi1_D (Jammu & Kashmir),Reasi_Marhi1_D (Jammu & Kashmir),Reasi_Marhi1_D (Jammu & Kashmir),Reasi,Jammu & Kashmir,TRUE
129,466221,Ashta_Saicolony_D (Madhya Pradesh),Ashta_Saicolony_D (Madhya Pradesh),Ashta_Saicolony_D (Madhya Pradesh),Ashta,Madhya Pradesh,TRUE
130,680652,Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur,Kerala,FALSE
131,851213,Maheshkhunt_PashchimTola_D (Bihar),Maheshkhunt_PashchimTola_D (Bihar),Maheshkhunt_PashchimTola_D (Bihar),Maheshkhunt,Bihar,TRUE
132,227015,Lucknow_Saraiya_L (Uttar Pradesh),Lucknow_Bhokapur_GW (Uttar Pradesh),Lucknow_Saraiya_L (Uttar Pradesh),Lucknow,Uttar Pradesh,TRUE
133,583121,Siruguppa_SadashivNagar_D (Karnataka),Siruguppa_SadashivNagar_D (Karnataka),Siruguppa_SadashivNagar_D (Karnataka),Siruguppa,Karnataka,FALSE
134,224149,Jalalpur_Jaukabad_D (Uttar Pradesh),Jalalpur_Jaukabad_D (Uttar Pradesh),Jalalpur_Jaukabad_D (Uttar Pradesh),Jalalpur,Uttar Pradesh,FALSE
135,523183,Ongole_Tangutur_H (Andhra Pradesh),Ongole_Tangutur_H (Andhra Pradesh),Ongole_Tangutur_H (Andhra Pradesh),Ongole,Andhra Pradesh,FALSE
136,248126,Dehradun_Badowala_H (Uttarakhand),Dehradun_Badowala_H (Uttarakhand),Dehradun_Badowala_H (Uttarakhand),Dehradun,Uttarakhand,FALSE
137,571602,Krishnarajngr_Ward17_D (Karnataka),Krishnarajngr_Ward17_D (Karnataka),Krishnarajngr_Ward17_D (Karnataka),Krishnarajngr,Karnataka,FALSE
138,422221,Nashik_Ojhar_DPP (Maharashtra),Nashik_Ojhar_DPP (Maharashtra),Nashik_Ojhar_DPP (Maharashtra),Dindori-MH,Maharashtra,FALSE
139,768211,Brajrajnagar_Jagannath_DPP (Orissa),Brajrajnagar_Jagannath_DPP (Orissa),Brajrajnagar_Jagannath_DPP (Orissa),Brajrajnagar,Orissa,TRUE
140,142040,Moga_HardevNagar_I (Punjab),Moga_HardevNagar_I (Punjab),Moga_HardevNagar_I (Punjab),Moga,Punjab,FALSE
141,846007,Darbhanga_Madhpur_I (Bihar),Darbhanga_Madhpur_I (Bihar),Darbhanga_Madhpur_I (Bihar),Darbhanga,Bihar,FALSE
142,425416,Nandurbar_Saharatown_D (Maharashtra),Nandurbar_Saharatown_D (Maharashtra),Nandurbar_Saharatown_D (Maharashtra),Nandurbar,Maharashtra,TRUE
143,244717,Kashipur_DhimarKhera_D (Uttarakhand),Kashipur_DhimarKhera_D (Uttarakhand),Kashipur_DhimarKhera_D (Uttarakhand),Kashipur,Uttarakhand,TRUE
144,741175,Chapra_Elemnagar_DPP (West Bengal),Chapra_Elemnagar_DPP (West Bengal),Chapra_Elemnagar_DPP (West Bengal),Chapra,West Bengal,FALSE
145,628252,Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli,Tamil Nadu,FALSE
146,612204,Mayavaram_Manakkudi_I (Tamil Nadu),Mayavaram_Manakkudi_I (Tamil Nadu),Mayavaram_Manakkudi_I (Tamil Nadu),Mayiladuthurai,Tamil Nadu,FALSE
147,522050,Guntur_Kornepadu_I (Andhra Pradesh),Guntur_Kornepadu_I (Andhra Pradesh),Guntur_Kornepadu_I (Andhra Pradesh),Guntur,Andhra Pradesh,TRUE
148,413310,Mhaswad_Drgmtatpl_D (Maharashtra),Mhaswad_Drgmtatpl_D (Maharashtra),Mhaswad_Drgmtatpl_D (Maharashtra),Mhaswad,Maharashtra,TRUE
149,783335,Agomani_Chhotoguma_DPP (Assam),Agomani_Chhotoguma_DPP (Assam),Agomani_Chhotoguma_DPP (Assam),Agomani,Assam,FALSE
150,284501,Lalitpur_Govindnagar_D (Uttar Pradesh),Lalitpur_Govindnagar_D (Uttar Pradesh),Lalitpur_Govindnagar_D (Uttar Pradesh),Lalitpur,Uttar Pradesh,FALSE
