pincode,city,state,global_cargo_region,is_oda,deliverable,safexpress_is_oda,bluedart_region
629169,Marthandam,Tamil Nadu,S2,0,1,,SOUTH
583221,Hospet,Karnataka,S2,1,1,,SOUTH
533235,Mandapeta,Andhra Pradesh,S2,0,1,,SOUTH
385505,Deesa,Gujarat,,1,1,,WEST
590009,Belgaum,Karnataka,S2,0,1,0,SOUTH
263624,Almora,Uttarakhand,N2,0,1,,NORTH
383006,Himmatnagar,Gujarat,,1,1,,WEST
245405,Siyana,Uttar Pradesh,N2,1,1,,NORTH
227308,Lucknow,Uttar Pradesh,N2,0,1,,NORTH
629707,Nagercoil,Tamil Nadu,S2,0,1,,SOUTH
636808,Palacode,Tamil Nadu,S2,0,1,,SOUTH
723163,Purulia,West Bengal,E2,0,1,,EAST
814151,Dumka,Jharkhand,E2,0,1,,EAST
781364,Mangaldoi,Assam,NE2,0,1,,
591104,Bailhongal,Karnataka,S2,0,1,,SOUTH
533223,Mandapeta,Andhra Pradesh,S2,0,1,,SOUTH
630204,Karaikudi,Tamil Nadu,S2,1,1,,SOUTH
586123,Sindagi,Karnataka,S2,0,1,,SOUTH
532579,Salur,Andhra Pradesh,S2,1,1,0,SOUTH
212662,Allahabad,Uttar Pradesh,N2,1,1,0,NORTH
602117,Sriperumbudur,Tamil Nadu,S2,0,1,0,SOUTH
585259,Aurad,Karnataka,S2,1,1,,SOUTH
500594,Hyderabad,Telangana,S1,0,1,0,SOUTH
571478,Mandya,Karnataka,S2,1,1,,SOUTH
576231,Kundapura,Karnataka,S2,0,1,,SOUTH
845438,Bettiah,Bihar,E2,1,1,,EAST
229126,Haidargarh,Uttar Pradesh,N2,1,1,,NORTH
680522,Thrissur,Kerala,S3,1,1,,SOUTH
177211,Amb,Himachal Pradesh,N3,1,1,,NORTH
626166,Sivakasi,Tamil Nadu,S2,1,1,,SOUTH
768220,Jharsuguda,Orissa,E2,1,1,,EAST
222165,Mungra Badshahpur,Uttar Pradesh,N2,1,1,,NORTH
523315,Markapur,Andhra Pradesh,S2,0,1,,SOUTH
801115,Patna,Bihar,E1,0,1,0,EAST
790102,Seppa,Arunachal Pradesh,NE2,1,1,,NE
700141,Kolkata,West Bengal,E1,0,1,,EAST
689678,Pathanamthitta,Kerala,S3,0,1,,SOUTH
403601,Goa,Goa,W2,0,1,0,WEST
160050,Mohali,Punjab,N2,0,1,0,NORTH
851134,Begusarai,Bihar,E2,0,1,,EAST
639109,Karur,Tamil Nadu,S2,0,1,,SOUTH
362560,UNA,Gujarat,,1,1,,WEST
392105,Ankleshwar,Gujarat,,1,1,0,WEST
736132,Mathabhanga,West Bengal,E2,0,1,,EAST
841206,Ekma,Bihar,E2,1,1,,EAST
127026,Charkhi Dadri,Haryana,N2,0,1,,NORTH
829124,Patratu,Jharkhand,E2,1,1,,EAST
600113,Chennai,Tamil Nadu,S1,0,1,0,SOUTH
